EM.CNPJ;EM.RAZAO_SOCIAL;EM.NATUREZA_JURIDICA;EM.QUALIFICACAO_RESP;EM.CAPITAL_SOCIAL;EM.PORTE;EM.ENTE_FEDERATIVO
02961246;SUPPORT RECURSOS HUMANOS LTDA;2062;49;81000,00;05;
02961486;ASSOCIACAO CATARINENSE DE PROTECAO AOS ANIMAIS - ACAPRA;3999;16;0,00;05;
02961965;H. SILVA NETO E CIA LTDA;2062;49;0,00;01;
02962469;KELLY GUEBARA & CIA LTDA;2062;49;0,00;05;
02963003;CB1 PROMOCOES E EVENTOS LTDA;2062;49;10000,00;03;
02963380;POINT 110 MATERIAL DESCARTAVEL LTDA;2062;49;0,00;01;
02964127;ANDALUZ CREDIT EIRELI;2305;65;300000,00;03;
02965551;BORBA EMPREENDIMENTOS PARTICIPACOES LTDA;2062;49;0,00;01;
02966042;OFICINA TAMAKAVI LTDA;2062;49;0,00;01;
02966310;ALFLEX IMPERMEABILIZANTES LTDA;2062;49;0,00;01;
02966433;JELP CONSTRUTORA LTDA;2062;49;0,00;01;
02966863;SANTANDER MOVEIS LTDA.;2062;49;40000,00;01;
02967237;J C ADMINISTRACAO DE IMPORTACAO E EXPORTACAO LTDA;2240;49;2000,00;01;
02967428;ANCORA - COMERCIO CONSTRUCOES E SERVICOS LTDA;2062;49;30000,00;01;
02968226;GREINER BIO-ONE BRASIL SERVICE TECH SISTEMAS, PRODUTOS E SERVICOS PARA SAUDE LTDA;2062;05;100000,00;05;
02968885;FRONTEIRA RURAL- NEGOCIOS RURAIS LTDA;2062;49;5000,00;01;
02969466;WALFLOR EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;49;815960,00;05;
02969796;CRIS LENS OTICA LTDA;2062;49;0,00;01;
02970175;DRAFTT ENGENHARIA E PLANEJAMENTO LTDA;2062;49;252000,00;05;
02970669;S.T. PARTICIPACOES E EMPREENDIMENTOS LTDA;2062;49;547502,00;03;
02970736;SILVA S MATERIAIS E PRODUTOS PARA INDUSTRIA LTDA;2062;49;0,00;05;
02970900;FEMA SERVICOS ANESTESICOS LTDA;2062;49;0,00;03;
02971020;ROSALINO DA SILVA & ROCHA LTDA;2062;49;0,00;05;
02971655;KI AMOR MENSAGENS LTDA;2062;49;0,00;05;
02971706;JRM SOLUCOES, GESTAO DE CREDITO E FORMENTO MERCANTIL LTDA;2062;05;0,00;01;
02971785;CENTRO DE FORMACAO DE CONDUTORES DE CAMPINAS LTDA.;2240;05;2000,00;05;
02996489;CENTRO DE TRADICOES GAUCHAS QUERENCIA DO GENERAL ABREU;3999;16;0,00;05;
04087015;ASSOCIACAO DOS PEQUENOS PRODUTORES DE LEITE;3999;16;0,00;05;
04157466;MODINHA COMERCIO DE DISCOS LTDA;2062;49;0,00;01;
04307088;CONSTRUTORA CAPITAL S/A;2054;16;200000000,00;05;
04423649;BAZAR E MERCEARIA DOIS R DA SILVA LTDA;2062;49;0,00;01;
04700819;RADAWIN - CORRETORA E ADMINISTRADORA DE SEGUROS S/S LTDA.;2240;49;1000,00;01;
04700840;CENS - CENTRO EDUCACIONAL NOVO SABER LTDA;2062;49;30000,00;01;
04700883;ASSOCIACAO DOS MORADORES DO POVOADO CANTO DOS BOIS;3999;16;0,00;05;
04701050;SERRA - MAR COMERCIO E REPRESENTACOES LTDA;2062;49;0,00;01;
04701339;WEST PUBLICIDADE LTDA;2062;49;0,00;05;
04701562;W.M.T. TRANSPORTE DE CARGAS LTDA;2062;49;50000,00;05;
04701743;OPUS JMF COMERCIO E SERVICOS DE TELECOMUNICACOES LTDA;2062;49;80000,00;01;
04702401;CAETANO & PEREIRA VEICULOS LTDA;2062;49;0,00;01;
04702573;MONTEIRO & SILVA VESTUARIOS LTDA;2062;49;0,00;05;
04702590;RIBER MOTO DISTRIBUIDORA DE PECAS LTDA;2062;49;0,00;01;
